ExceptionID,ExceptionDate,Process,ExceptionType,Severity,ReferenceID,Description,Status
EXC000001,2025-02-24,Procurement,Overdue Purchase Order,High,PO4500000003,Purchase order delayed by 9 days,Open
EXC000002,2026-04-29,Procurement,Overdue Purchase Order,High,PO4500000010,Purchase order delayed by 5 days,Open
EXC000003,2026-05-21,Procurement,Overdue Purchase Order,High,PO4500000011,Purchase order delayed by 8 days,Open
EXC000004,2025-05-29,Procurement,Overdue Purchase Order,High,PO4500000012,Purchase order delayed by 9 days,Open
EXC000005,2026-01-07,Procurement,Overdue Purchase Order,Critical,PO4500000024,Purchase order delayed by 10 days,Open
EXC000006,2026-05-10,Procurement,Missing Supplier Confirmation,Medium,PO4500000025,Supplier confirmation missing,Open
EXC000007,2026-06-07,Procurement,Overdue Purchase Order,High,PO4500000030,Purchase order delayed by 6 days,Open
EXC000008,2025-12-08,Procurement,Overdue Purchase Order,High,PO4500000034,Purchase order delayed by 8 days,Open
EXC000009,2025-08-01,Procurement,Missing Supplier Confirmation,Medium,PO4500000041,Supplier confirmation missing,Open
EXC000010,2025-05-14,Procurement,Missing Supplier Confirmation,Medium,PO4500000042,Supplier confirmation missing,Open
EXC000011,2026-01-03,Procurement,Overdue Purchase Order,Critical,PO4500000069,Purchase order delayed by 11 days,Open
EXC000012,2026-01-04,Procurement,Overdue Purchase Order,Critical,PO4500000079,Purchase order delayed by 16 days,Open
EXC000013,2025-09-04,Procurement,Overdue Purchase Order,Critical,PO4500000082,Purchase order delayed by 10 days,Open
EXC000014,2025-06-09,Procurement,Overdue Purchase Order,High,PO4500000086,Purchase order delayed by 3 days,Open
EXC000015,2026-01-05,Procurement,Missing Supplier Confirmation,Medium,PO4500000093,Supplier confirmation missing,Open
EXC000016,2026-05-04,Procurement,Overdue Purchase Order,Critical,PO4500000096,Purchase order delayed by 16 days,Open
EXC000017,2026-01-01,Procurement,Overdue Purchase Order,Critical,PO4500000100,Purchase order delayed by 16 days,Open
EXC000018,2026-05-09,Procurement,Overdue Purchase Order,Critical,PO4500000106,Purchase order delayed by 12 days,Open
EXC000019,2025-11-23,Procurement,Missing Supplier Confirmation,Medium,PO4500000123,Supplier confirmation missing,Open
EXC000020,2026-06-08,Procurement,Overdue Purchase Order,Critical,PO4500000125,Purchase order delayed by 15 days,Open
EXC000021,2026-01-10,Procurement,Missing Supplier Confirmation,Medium,PO4500000130,Supplier confirmation missing,Open
EXC000022,2026-02-04,Procurement,Overdue Purchase Order,Critical,PO4500000141,Purchase order delayed by 13 days,Open
EXC000023,2025-02-23,Procurement,Missing Supplier Confirmation,Medium,PO4500000144,Supplier confirmation missing,Open
EXC000024,2026-03-17,Procurement,Overdue Purchase Order,High,PO4500000147,Purchase order delayed by 6 days,Open
EXC000025,2025-10-27,Procurement,Overdue Purchase Order,High,PO4500000148,Purchase order delayed by 1 days,Open
EXC000026,2025-03-26,Procurement,Overdue Purchase Order,Critical,PO4500000162,Purchase order delayed by 16 days,Open
EXC000027,2026-03-06,Procurement,Missing Supplier Confirmation,Medium,PO4500000167,Supplier confirmation missing,Open
EXC000028,2025-11-19,Procurement,Overdue Purchase Order,High,PO4500000173,Purchase order delayed by 5 days,Open
EXC000029,2025-10-05,Procurement,Overdue Purchase Order,High,PO4500000188,Purchase order delayed by 9 days,Open
EXC000030,2026-06-19,Procurement,Overdue Purchase Order,High,PO4500000206,Purchase order delayed by 8 days,Open
EXC000031,2026-03-19,Procurement,Overdue Purchase Order,Critical,PO4500000212,Purchase order delayed by 11 days,Open
EXC000032,2025-12-29,Procurement,Overdue Purchase Order,Critical,PO4500000231,Purchase order delayed by 14 days,Open
EXC000033,2026-06-18,Procurement,Overdue Purchase Order,High,PO4500000233,Purchase order delayed by 4 days,Open
EXC000034,2025-12-28,Procurement,Overdue Purchase Order,High,PO4500000239,Purchase order delayed by 2 days,Open
EXC000035,2025-12-18,Procurement,Missing Supplier Confirmation,Medium,PO4500000239,Supplier confirmation missing,Open
EXC000036,2025-06-25,Procurement,Overdue Purchase Order,High,PO4500000241,Purchase order delayed by 9 days,Open
EXC000037,2026-05-04,Procurement,Missing Supplier Confirmation,Medium,PO4500000243,Supplier confirmation missing,Open
EXC000038,2025-06-03,Procurement,Overdue Purchase Order,Critical,PO4500000244,Purchase order delayed by 14 days,Open
EXC000039,2025-06-24,Procurement,Overdue Purchase Order,Critical,PO4500000247,Purchase order delayed by 15 days,Open
EXC000040,2025-01-25,Procurement,Overdue Purchase Order,Critical,PO4500000251,Purchase order delayed by 11 days,Open
EXC000041,2025-02-26,Procurement,Missing Supplier Confirmation,Medium,PO4500000256,Supplier confirmation missing,Open
EXC000042,2025-09-19,Procurement,Missing Supplier Confirmation,Medium,PO4500000260,Supplier confirmation missing,Open
EXC000043,2026-04-24,Procurement,Overdue Purchase Order,High,PO4500000269,Purchase order delayed by 3 days,Open
EXC000044,2026-04-19,Procurement,Overdue Purchase Order,High,PO4500000278,Purchase order delayed by 3 days,Open
EXC000045,2026-05-12,Procurement,Missing Supplier Confirmation,Medium,PO4500000283,Supplier confirmation missing,Open
EXC000046,2025-10-03,Procurement,Overdue Purchase Order,High,PO4500000285,Purchase order delayed by 4 days,Open
EXC000047,2025-08-18,Procurement,Overdue Purchase Order,Critical,PO4500000288,Purchase order delayed by 16 days,Open
EXC000048,2026-01-20,Procurement,Overdue Purchase Order,Critical,PO4500000291,Purchase order delayed by 12 days,Open
EXC000049,2025-01-15,Procurement,Overdue Purchase Order,Critical,PO4500000294,Purchase order delayed by 13 days,Open
EXC000050,2025-05-24,Procurement,Overdue Purchase Order,High,PO4500000295,Purchase order delayed by 5 days,Open
EXC000051,2025-04-14,Procurement,Overdue Purchase Order,Critical,PO4500000296,Purchase order delayed by 11 days,Open
EXC000052,2026-05-31,Procurement,Overdue Purchase Order,Critical,PO4500000298,Purchase order delayed by 12 days,Open
EXC000053,2026-05-10,Procurement,Missing Supplier Confirmation,Medium,PO4500000301,Supplier confirmation missing,Open
EXC000054,2025-08-29,Procurement,Overdue Purchase Order,Critical,PO4500000302,Purchase order delayed by 14 days,Open
EXC000055,2025-12-01,Procurement,Overdue Purchase Order,High,PO4500000313,Purchase order delayed by 3 days,Open
EXC000056,2026-04-22,Procurement,Overdue Purchase Order,High,PO4500000314,Purchase order delayed by 1 days,Open
EXC000057,2025-05-20,Procurement,Overdue Purchase Order,High,PO4500000315,Purchase order delayed by 4 days,Open
EXC000058,2025-06-26,Procurement,Overdue Purchase Order,High,PO4500000325,Purchase order delayed by 9 days,Open
EXC000059,2025-09-14,Procurement,Overdue Purchase Order,High,PO4500000326,Purchase order delayed by 8 days,Open
EXC000060,2025-08-08,Procurement,Missing Supplier Confirmation,Medium,PO4500000326,Supplier confirmation missing,Open
EXC000061,2025-03-08,Procurement,Overdue Purchase Order,High,PO4500000339,Purchase order delayed by 5 days,Open
EXC000062,2025-05-13,Procurement,Missing Supplier Confirmation,Medium,PO4500000342,Supplier confirmation missing,Open
EXC000063,2025-07-24,Procurement,Missing Supplier Confirmation,Medium,PO4500000343,Supplier confirmation missing,Open
EXC000064,2025-03-21,Procurement,Overdue Purchase Order,Critical,PO4500000345,Purchase order delayed by 10 days,Open
