SnapshotDate,ProductID,WarehouseID,StockQty,BlockedStockQty,AvailableStockQty,SafetyStock,ReorderPoint,InventoryValueEUR
2026-06-30,MAT100001,WH01,180,7,173,13,93,34500.6
2026-06-30,MAT100001,WH02,125,6,119,13,93,23958.75
2026-06-30,MAT100001,WH03,82,3,79,13,93,15716.94
2026-06-30,MAT100002,WH01,88,1,87,21,139,2442.0
2026-06-30,MAT100002,WH02,372,27,345,21,139,10323.0
2026-06-30,MAT100002,WH03,359,25,334,21,139,9962.25
2026-06-30,MAT100003,WH01,169,4,165,87,103,102976.77
2026-06-30,MAT100003,WH02,241,17,224,87,103,146848.53
2026-06-30,MAT100003,WH03,280,12,268,87,103,170612.4
2026-06-30,MAT100004,WH01,422,20,402,38,162,290542.78
2026-06-30,MAT100004,WH02,387,17,370,38,162,266445.63
2026-06-30,MAT100004,WH03,414,29,385,38,162,285034.86
2026-06-30,MAT100005,WH01,140,0,140,99,217,33320.0
2026-06-30,MAT100005,WH02,364,25,339,99,217,86632.0
2026-06-30,MAT100005,WH03,587,21,566,99,217,139706.0
2026-06-30,MAT100006,WH01,129,2,127,23,56,10896.63
2026-06-30,MAT100006,WH02,51,0,51,23,56,4307.97
2026-06-30,MAT100006,WH03,63,1,62,23,56,5321.61
2026-06-30,MAT100007,WH01,154,1,153,43,64,70370.3
2026-06-30,MAT100007,WH02,76,5,71,43,64,34728.2
2026-06-30,MAT100007,WH03,123,8,115,43,64,56204.85
2026-06-30,MAT100008,WH01,345,16,329,20,171,243369.9
2026-06-30,MAT100008,WH02,147,8,139,20,171,103696.74
2026-06-30,MAT100008,WH03,175,3,172,20,171,123448.5
2026-06-30,MAT100009,WH01,332,21,311,83,142,13724.88
2026-06-30,MAT100009,WH02,88,1,87,83,142,3637.92
2026-06-30,MAT100009,WH03,93,5,88,83,142,3844.62
2026-06-30,MAT100010,WH01,68,4,64,20,89,22076.88
2026-06-30,MAT100010,WH02,82,3,79,20,89,26622.12
2026-06-30,MAT100010,WH03,169,1,168,20,89,54867.54
2026-06-30,MAT100011,WH01,161,9,152,30,134,28989.66
2026-06-30,MAT100011,WH02,46,1,45,30,134,8282.76
2026-06-30,MAT100011,WH03,10,0,10,30,134,1800.6
2026-06-30,MAT100012,WH01,197,11,186,87,140,27773.06
