ProductID,ProductName,MaterialGroup,Unit,StandardCostEUR,SafetyStock,ReorderPoint,CriticalMaterial
MAT100001,Electrical Item 001,Electrical,M,191.67,13,93,No
MAT100002,Tools Item 002,Tools,EA,27.75,21,139,No
MAT100003,Tools Item 003,Tools,M,609.33,87,103,No
MAT100004,Packaging Item 004,Packaging,KG,688.49,38,162,Yes
MAT100005,Hydraulics Item 005,Hydraulics,KG,238.0,99,217,No
MAT100006,Motors Item 006,Motors,SET,84.47,23,56,No
MAT100007,Belts Item 007,Belts,SET,456.95,43,64,No
MAT100008,Packaging Item 008,Packaging,KG,705.42,20,171,No
MAT100009,Motors Item 009,Motors,EA,41.34,83,142,No
MAT100010,Fasteners Item 010,Fasteners,EA,324.66,20,89,No
MAT100011,Motors Item 011,Motors,KG,180.06,30,134,No
MAT100012,Electrical Item 012,Electrical,M,140.98,87,140,No
MAT100013,Tools Item 013,Tools,EA,196.62,38,131,Yes
MAT100014,Motors Item 014,Motors,EA,181.31,61,139,No
MAT100015,Motors Item 015,Motors,SET,752.27,37,174,No
MAT100016,Hydraulics Item 016,Hydraulics,M,633.88,43,88,No
MAT100017,Belts Item 017,Belts,SET,309.29,64,223,No
MAT100018,Hydraulics Item 018,Hydraulics,EA,643.03,75,211,No
MAT100019,Hydraulics Item 019,Hydraulics,SET,507.96,90,140,No
MAT100020,Belts Item 020,Belts,KG,825.49,69,214,No
MAT100021,Bearings Item 021,Bearings,KG,653.89,97,136,No
MAT100022,Fasteners Item 022,Fasteners,SET,5.25,65,115,No
MAT100023,Fasteners Item 023,Fasteners,EA,740.26,74,129,No
MAT100024,Tools Item 024,Tools,M,319.39,87,147,Yes
MAT100025,Tools Item 025,Tools,SET,19.01,10,102,No
MAT100026,Fasteners Item 026,Fasteners,M,746.61,40,64,No
MAT100027,Electrical Item 027,Electrical,EA,831.34,103,237,No
MAT100028,Hydraulics Item 028,Hydraulics,M,227.14,26,157,No
MAT100029,Packaging Item 029,Packaging,M,606.72,37,185,No
MAT100030,Motors Item 030,Motors,SET,105.05,66,208,No
