PurchaseOrderID,OrderDate,RequestedDeliveryDate,ActualDeliveryDate,SupplierID,ProductID,WarehouseID,OrderQty,UnitPriceEUR,POValueEUR,Status,DelayDays,Confirmed
PO4500000001,2025-10-23,2025-10-26,2025-10-26,SUP024,MAT100035,WH03,331,631.26,208947.06,Delivered,0,Yes
PO4500000002,2025-03-24,2025-04-11,2025-04-11,SUP015,MAT100004,WH01,350,545.32,190862.0,Delivered,0,Yes
PO4500000003,2025-01-22,2025-02-24,2025-03-05,SUP022,MAT100023,WH02,61,687.98,41966.78,Late,9,Yes
PO4500000004,2025-10-12,2025-10-30,2025-10-31,SUP015,MAT100063,WH01,466,573.13,267078.58,Delivered,1,Yes
PO4500000005,2025-12-08,2025-12-19,2025-12-16,SUP014,MAT100089,WH02,184,300.17,55231.28,Delivered,0,Yes
PO4500000006,2025-02-07,2025-02-25,2025-02-24,SUP013,MAT100099,WH02,278,294.33,81823.74,Delivered,0,Yes
PO4500000007,2026-04-19,2026-05-22,2026-05-20,SUP001,MAT100097,WH02,550,328.79,180834.5,Delivered,0,Yes
PO4500000008,2025-07-28,2025-08-11,2025-08-09,SUP002,MAT100090,WH02,314,397.11,124692.54,Delivered,0,Yes
PO4500000009,2025-09-03,2025-10-06,2025-10-05,SUP021,MAT100053,WH01,584,17.24,10068.16,Delivered,0,Yes
PO4500000010,2026-04-18,2026-04-29,2026-05-04,SUP004,MAT100038,WH03,530,839.72,445051.6,Late,5,Yes
PO4500000011,2026-05-10,2026-05-21,2026-05-29,SUP014,MAT100050,WH01,487,498.38,242711.06,Late,8,Yes
PO4500000012,2025-05-20,2025-05-29,2025-06-07,SUP017,MAT100101,WH03,444,309.19,137280.36,Late,9,Yes
PO4500000013,2025-10-17,2025-11-19,2025-11-20,SUP001,MAT100058,WH03,521,779.41,406072.61,Delivered,1,Yes
PO4500000014,2026-01-22,2026-02-21,2026-02-20,SUP011,MAT100031,WH03,213,882.79,188034.27,Delivered,0,Yes
PO4500000015,2025-02-14,2025-02-25,2025-02-25,SUP014,MAT100085,WH03,410,350.54,143721.4,Delivered,0,Yes
PO4500000016,2025-02-07,2025-02-17,2025-02-18,SUP016,MAT100112,WH02,359,783.38,281233.42,Delivered,1,Yes
PO4500000017,2025-01-16,2025-02-03,2025-02-03,SUP015,MAT100101,WH02,178,71.97,12810.66,Delivered,0,Yes
PO4500000018,2026-02-12,2026-03-16,2026-03-15,SUP023,MAT100041,WH03,566,345.11,195332.26,Delivered,0,Yes
PO4500000019,2025-02-06,2025-02-16,2025-02-14,SUP016,MAT100096,WH01,314,897.7,281877.8,Delivered,0,Yes
PO4500000020,2025-04-13,2025-04-24,2025-04-23,SUP004,MAT100102,WH01,49,46.16,2261.84,Delivered,0,Yes
PO4500000021,2026-03-18,2026-03-27,2026-03-28,SUP012,MAT100102,WH01,441,511.51,225575.91,Delivered,1,Yes
PO4500000022,2026-01-27,2026-02-08,2026-02-06,SUP003,MAT100019,WH01,529,821.98,434827.42,Delivered,0,Yes
PO4500000023,2026-04-16,2026-04-23,2026-04-20,SUP009,MAT100087,WH03,496,811.58,402543.68,Delivered,0,Yes
PO4500000024,2025-12-20,2026-01-07,2026-01-17,SUP015,MAT100059,WH02,454,622.83,282764.82,Late,10,Yes
PO4500000025,2026-05-10,2026-05-28,2026-05-28,SUP013,MAT100090,WH02,387,519.46,201031.02,Delivered,0,No
PO4500000026,2026-02-10,2026-03-15,2026-03-16,SUP022,MAT100096,WH02,70,820.0,57400.0,Delivered,1,Yes
PO4500000027,2025-08-24,2025-09-06,2025-09-05,SUP010,MAT100080,WH02,244,574.77,140243.88,Delivered,0,Yes
PO4500000028,2025-05-21,2025-05-24,2025-05-21,SUP024,MAT100005,WH03,336,710.81,238832.16,Delivered,0,Yes
PO4500000029,2025-04-03,2025-05-05,2025-05-04,SUP005,MAT100017,WH03,445,162.2,72179.0,Delivered,0,Yes
PO4500000030,2026-05-29,2026-06-07,2026-06-13,SUP012,MAT100062,WH02,283,823.07,232928.81,Late,6,Yes
PO4500000031,2025-04-28,2025-05-28,2025-05-25,SUP011,MAT100029,WH03,164,679.97,111515.08,Delivered,0,Yes
PO4500000032,2026-01-10,2026-01-28,2026-01-28,SUP013,MAT100016,WH02,34,241.69,8217.46,Delivered,0,Yes
PO4500000033,2025-09-26,2025-09-29,2025-09-28,SUP024,MAT100061,WH01,130,608.98,79167.4,Delivered,0,Yes
PO4500000034,2025-12-02,2025-12-08,2025-12-16,SUP018,MAT100060,WH03,84,573.69,48189.96,Late,8,Yes
PO4500000035,2025-04-30,2025-05-11,2025-05-08,SUP014,MAT100015,WH01,331,896.36,296695.16,Delivered,0,Yes
PO4500000036,2025-05-19,2025-05-25,2025-05-24,SUP018,MAT100096,WH03,573,380.12,217808.76,Delivered,0,Yes
PO4500000037,2025-04-12,2025-04-23,2025-04-24,SUP014,MAT100036,WH01,437,845.45,369461.65,Delivered,1,Yes
PO4500000038,2026-03-31,2026-04-19,2026-04-17,SUP007,MAT100088,WH02,391,93.92,36722.72,Delivered,0,Yes
PO4500000039,2026-01-03,2026-02-05,2026-02-04,SUP021,MAT100109,WH02,214,871.55,186511.7,Delivered,0,Yes
