ShipmentID,DeliveryID,ShipmentDate,CarrierID,CountryID,Incoterm,TransportMode,DistanceKm,WeightKg,Pallets,TransitDays,FreightCostEUR,SellerPaysFreight,OnTimeDelivery,Route
SHP900000001,DLV800000001,2025-11-04,CAR02,PL,DDP,Road,1450,490.4,1,2,1121.41,Yes,Yes,FI-PL
SHP900000002,DLV800000002,2026-05-21,CAR07,DE,FCA,Sea,1650,5224.6,9,8,0.0,No,No,FI-DE
SHP900000003,DLV800000003,2025-07-07,CAR06,US,DDP,Air,7200,1062.7,2,4,17684.38,Yes,Yes,FI-US
SHP900000004,DLV800000004,2025-07-25,CAR08,ES,DDP,Sea,3500,2630.0,7,11,1563.51,Yes,Yes,FI-ES
SHP900000005,DLV800000005,2025-12-02,CAR04,IT,FCA,Road,2900,1400.7,2,5,0.0,No,No,FI-IT
SHP900000006,DLV800000006,2025-10-20,CAR01,CN,CIP,Road,7700,4137.6,6,20,4230.42,Yes,No,FI-CN
SHP900000007,DLV800000007,2025-08-22,CAR08,PL,DDP,Sea,1450,5969.6,9,9,1151.16,Yes,No,FI-PL
SHP900000008,DLV800000008,2024-12-31,CAR05,ES,CPT,Air,3500,362.9,1,2,10631.07,Yes,Yes,FI-ES
SHP900000009,DLV800000009,2025-11-05,CAR07,IT,EXW,Sea,2900,2034.3,5,10,0.0,No,No,FI-IT
SHP900000010,DLV800000010,2025-12-01,CAR07,DK,CPT,Sea,1000,4538.5,7,5,676.79,Yes,Yes,FI-DK
SHP900000011,DLV800000011,2025-10-24,CAR05,NO,EXW,Air,900,5362.7,12,2,0.0,No,No,FI-NO
SHP900000012,DLV800000012,2025-06-08,CAR02,IT,EXW,Road,2900,5361.4,11,4,0.0,No,Yes,FI-IT
SHP900000013,DLV800000013,2026-05-03,CAR08,IT,CPT,Sea,2900,2733.5,7,9,1567.96,Yes,Yes,FI-IT
SHP900000014,DLV800000014,2025-03-29,CAR01,CN,DDP,Road,7700,1383.4,2,12,5041.2,Yes,Yes,FI-CN
SHP900000015,DLV800000015,2026-01-30,CAR01,NL,CPT,Road,1850,3399.5,6,4,1690.83,Yes,No,FI-NL
SHP900000016,DLV800000016,2026-05-17,CAR04,CN,DDP,Road,7700,283.6,1,13,4607.73,Yes,No,FI-CN
SHP900000017,DLV800000017,2026-03-01,CAR06,FI,CPT,Air,250,3658.0,6,9,3314.31,Yes,No,FI-FI
SHP900000018,DLV800000018,2025-12-14,CAR08,FR,CIP,Sea,2400,5760.5,13,9,1593.85,Yes,Yes,FI-FR
SHP900000019,DLV800000019,2025-05-18,CAR05,FI,CPT,Air,250,6826.7,14,1,4963.39,Yes,Yes,FI-FI
SHP900000020,DLV800000020,2025-01-24,CAR05,CN,CIP,Air,7700,5965.4,13,4,20155.98,Yes,Yes,FI-CN
SHP900000021,DLV800000021,2025-05-05,CAR06,DE,CPT,Air,1650,5291.2,8,1,6567.43,Yes,Yes,FI-DE
SHP900000022,DLV800000022,2025-10-31,CAR05,CN,DDP,Air,7700,4615.5,10,4,19178.84,Yes,Yes,FI-CN
SHP900000023,DLV800000023,2025-01-04,CAR02,SE,DAP,Road,650,775.0,2,1,672.55,Yes,Yes,FI-SE
SHP900000024,DLV800000024,2025-07-04,CAR02,DK,FCA,Road,1000,5109.4,13,2,0.0,No,Yes,FI-DK
SHP900000025,DLV800000025,2025-01-01,CAR04,CN,DDP,Road,7700,1500.7,3,12,4160.33,Yes,Yes,FI-CN
SHP900000026,DLV800000026,2026-02-14,CAR05,IT,CPT,Air,2900,4957.1,11,1,11037.12,Yes,Yes,FI-IT
SHP900000027,DLV800000027,2025-07-12,CAR02,FI,FCA,Road,250,953.2,3,1,0.0,No,Yes,FI-FI
SHP900000028,DLV800000028,2026-02-07,CAR01,DK,CIP,Road,1000,5029.1,8,7,1088.6,Yes,No,FI-DK
SHP900000029,DLV800000029,2025-05-26,CAR06,SE,FCA,Air,650,4626.9,8,1,0.0,No,Yes,FI-SE
SHP900000030,DLV800000030,2025-05-28,CAR04,FR,DAP,Road,2400,3444.7,5,4,1859.12,Yes,Yes,FI-FR
SHP900000031,DLV800000031,2025-06-11,CAR01,DE,CPT,Road,1650,799.6,2,3,1066.39,Yes,Yes,FI-DE
SHP900000032,DLV800000032,2026-04-25,CAR07,NO,CIP,Sea,900,1430.4,2,6,584.86,Yes,No,FI-NO
SHP900000033,DLV800000033,2025-08-10,CAR05,PL,FCA,Air,1450,6905.9,13,1,0.0,No,Yes,FI-PL
SHP900000034,DLV800000034,2026-01-10,CAR03,US,FCA,Road,7200,5232.4,15,11,0.0,No,Yes,FI-US
SHP900000035,DLV800000035,2025-10-14,CAR02,ES,FCA,Road,3500,1069.2,3,5,0.0,No,Yes,FI-ES
SHP900000036,DLV800000036,2024-12-29,CAR07,CN,DAP,Sea,7700,4881.3,11,26,2953.97,Yes,Yes,FI-CN
SHP900000037,DLV800000037,2026-04-24,CAR06,PL,EXW,Air,1450,5319.7,10,1,0.0,No,Yes,FI-PL
SHP900000038,DLV800000038,2025-01-16,CAR04,FR,CPT,Road,2400,3285.6,6,4,2033.32,Yes,Yes,FI-FR
SHP900000039,DLV800000039,2025-08-13,CAR08,SE,CIP,Sea,650,2881.7,4,5,575.31,Yes,Yes,FI-SE
SHP900000040,DLV800000040,2025-08-26,CAR04,FR,EXW,Road,2400,337.9,1,4,0.0,No,Yes,FI-FR
SHP900000041,DLV800000041,2025-01-03,CAR03,IT,CIP,Road,2900,3540.8,8,4,2250.07,Yes,Yes,FI-IT
SHP900000042,DLV800000042,2025-12-28,CAR07,FI,CPT,Sea,250,178.9,1,5,165.05,Yes,Yes,FI-FI
SHP900000043,DLV800000043,2025-07-01,CAR04,NO,CIP,Road,900,3162.8,6,1,856.32,Yes,Yes,FI-NO
SHP900000044,DLV800000044,2025-10-30,CAR04,CN,CIP,Road,7700,2640.5,5,12,5090.24,Yes,Yes,FI-CN
SHP900000045,DLV800000045,2025-06-09,CAR02,PL,EXW,Road,1450,1885.0,4,3,0.0,No,No,FI-PL
SHP900000046,DLV800000046,2025-06-06,CAR06,IT,DAP,Air,2900,1975.9,4,1,8125.22,Yes,Yes,FI-IT
SHP900000047,DLV800000047,2025-10-26,CAR01,CN,CPT,Road,7700,913.6,2,13,4946.59,Yes,No,FI-CN
SHP900000048,DLV800000048,2026-02-04,CAR02,IT,CIP,Road,2900,5598.6,13,4,2071.21,Yes,Yes,FI-IT
SHP900000049,DLV800000049,2025-03-24,CAR02,ES,FCA,Road,3500,5801.9,16,5,0.0,No,Yes,FI-ES
SHP900000050,DLV800000050,2025-08-13,CAR04,FR,FCA,Road,2400,588.7,1,5,0.0,No,No,FI-FR
SHP900000051,DLV800000051,2025-12-11,CAR03,FR,CIP,Road,2400,6044.3,10,4,1903.9,Yes,Yes,FI-FR
SHP900000052,DLV800000052,2025-07-10,CAR02,NO,EXW,Road,900,2619.6,4,3,0.0,No,No,FI-NO
SHP900000053,DLV800000053,2025-12-25,CAR01,CN,DAP,Road,7700,1847.8,5,12,5192.16,Yes,Yes,FI-CN
SHP900000054,DLV800000054,2026-06-18,CAR08,ES,CPT,Sea,3500,2674.7,7,11,1541.17,Yes,Yes,FI-ES
SHP900000055,DLV800000055,2024-12-31,CAR01,FI,CPT,Road,250,5075.6,11,2,782.07,Yes,No,FI-FI
SHP900000056,DLV800000056,2025-05-30,CAR02,PL,FCA,Road,1450,5756.4,9,2,0.0,No,Yes,FI-PL
SHP900000057,DLV800000057,2025-02-06,CAR01,PL,CIP,Road,1450,3921.1,7,2,1561.93,Yes,Yes,FI-PL
SHP900000058,DLV800000058,2025-03-01,CAR03,FI,EXW,Road,250,6234.7,9,1,0.0,No,Yes,FI-FI
SHP900000059,DLV800000059,2025-09-20,CAR01,CN,CPT,Road,7700,1381.2,2,13,4139.6,Yes,No,FI-CN
SHP900000060,DLV800000060,2025-09-04,CAR02,US,CIP,Road,7200,5090.1,10,11,5046.45,Yes,Yes,FI-US
SHP900000061,DLV800000061,2025-06-11,CAR05,US,CIP,Air,7200,3033.3,8,5,23723.02,Yes,No,FI-US
SHP900000062,DLV800000062,2025-02-07,CAR02,DE,CPT,Road,1650,5310.9,8,4,1439.75,Yes,No,FI-DE
SHP900000063,DLV800000063,2026-01-10,CAR04,PL,DAP,Road,1450,192.2,1,2,923.68,Yes,Yes,FI-PL
SHP900000064,DLV800000064,2026-06-05,CAR05,PL,DAP,Air,1450,3905.9,7,2,5691.86,Yes,No,FI-PL
SHP900000065,DLV800000065,2025-05-14,CAR06,DE,DAP,Air,1650,4817.2,13,1,8298.23,Yes,Yes,FI-DE
SHP900000066,DLV800000066,2025-07-30,CAR04,DK,DAP,Road,1000,2781.2,7,2,902.86,Yes,Yes,FI-DK
SHP900000067,DLV800000067,2026-04-06,CAR02,SE,EXW,Road,650,667.2,1,1,0.0,No,Yes,FI-SE
SHP900000068,DLV800000068,2025-11-25,CAR04,FR,FCA,Road,2400,5336.6,10,5,0.0,No,No,FI-FR
SHP900000069,DLV800000069,2026-05-24,CAR07,NL,EXW,Sea,1850,6980.9,19,7,0.0,No,Yes,FI-NL
SHP900000070,DLV800000070,2025-04-20,CAR06,SE,CIP,Air,650,4468.7,9,1,5041.94,Yes,Yes,FI-SE
SHP900000071,DLV800000071,2026-03-01,CAR02,ES,DDP,Road,3500,963.5,3,5,2071.88,Yes,Yes,FI-ES
SHP900000072,DLV800000072,2025-10-20,CAR02,SE,DAP,Road,650,5871.3,11,1,1317.74,Yes,Yes,FI-SE
SHP900000073,DLV800000073,2025-06-09,CAR04,PL,FCA,Road,1450,2383.7,6,2,0.0,No,Yes,FI-PL
SHP900000074,DLV800000074,2025-10-27,CAR01,DE,CIP,Road,1650,5452.8,12,4,1719.39,Yes,No,FI-DE
SHP900000075,DLV800000075,2025-02-12,CAR07,PL,CPT,Sea,1450,6573.8,10,5,1282.37,Yes,Yes,FI-PL
SHP900000076,DLV800000076,2026-02-07,CAR04,FI,FCA,Road,250,2263.0,4,1,0.0,No,Yes,FI-FI
SHP900000077,DLV800000077,2025-09-15,CAR03,SE,CIP,Road,650,788.2,1,2,583.44,Yes,No,FI-SE
SHP900000078,DLV800000078,2025-09-25,CAR03,IT,CIP,Road,2900,64.6,1,4,1734.12,Yes,Yes,FI-IT
